;seed;condition;points_pneumonia;points_health;points_total
0;184761891.0;1;1.0;1.0;2.0
1;357871661.0;0;0.0;0.0;0.0
2;42317036.0;0;1.0;1.0;2.0
3;158014657.0;1;0.0;0.0;0.0
4;1543980992.0;1;0.5;1.0;1.5
5;1117347031.0;1;0.0;1.0;1.0
6;825726953.0;0;0.0;1.0;1.0
7;1894117389.0;1;1.0;1.0;2.0
8;1575757263.0;1;1.0;1.0;2.0
9;1614048419.0;1;1.0;1.0;2.0
10;2094374856.0;0;0.0;1.0;1.0
11;623296333.0;1;1.0;1.0;2.0
12;73944353.0;1;0.0;0.0;0.0
13;2010363055.0;0;0.0;0.0;0.0
14;1981570267.0;1;1.0;1.0;2.0
15;452786103.0;1;0.0;1.0;1.0
16;2016410738.0;0;1.0;1.0;2.0
17;682278026.0;0;1.0;1.0;2.0
18;441501538.0;1;1.0;1.0;2.0
19;1810096970.0;1;0.0;0.5;0.5
20;1412602397.0;0;0.0;0.0;0.0
21;599870172.0;0;1.0;1.0;2.0
22;1273749012.0;1;1.0;0.0;1.0
23;1948924628.0;1;0.0;0.0;0.0
24;321471218.0;1;0.5;1.0;1.5
25;221585139.0;1;1.0;1.0;2.0
26;986071554.0;1;1.0;1.0;2.0
27;1856403303.0;0;0.0;0.0;0.0
28;894669066.0;2;1.0;1.0;2.0
29;1061635578.0;2;1.0;1.0;2.0
30;120111775.0;0;1.0;1.0;2.0
31;2025513355.0;2;1.0;1.0;2.0
32;1810251108.0;1;1.0;1.0;2.0
33;1888615655.0;2;1.0;1.0;2.0
34;784779255.0;1;1.0;1.0;2.0
35;649493447.0;1;1.0;1.0;2.0
36;1171648218.0;2;1.0;1.0;2.0
37;1724691568.0;2;1.0;1.0;2.0
38;743037845.0;1;0.0;0.0;0.0
39;424106523.0;1;0.0;0.0;0.0
40;2084815651.0;1;0.0;0.0;0.0
41;1929526585.0;2;1.0;1.0;2.0
42;770358230.0;0;0.0;0.0;0.0
43;;-1;0.0;0.0;0.0
44;1362831860.0;2;1.0;1.0;2.0
45;204008770.0;2;1.0;1.0;2.0
46;1820480565.0;2;1.0;1.0;2.0
47;619734107.0;1;1.0;1.0;2.0
48;1337971646.0;0;1.0;1.0;2.0
49;1652427518.0;1;1.0;1.0;2.0
50;2086735177.0;1;0.0;0.0;0.0
51;1731145170.0;2;0.0;0.5;0.5
52;1348629807.0;2;1.0;1.0;2.0
53;1418614281.0;2;0.0;1.0;1.0
54;567064062.0;0;1.0;1.0;2.0
55;1665120805.0;0;0.0;0.0;0.0
56;191613748.0;0;0.0;0.0;0.0
57;1261959670.0;0;1.0;1.0;2.0
58;601999914.0;0;0.0;0.0;0.0
59;292323331.0;2;0.5;0.5;1.0
60;621723162.0;1;1.0;0.0;1.0
61;303637853.0;1;1.0;1.0;2.0
62;1094784099.0;0;0.0;0.0;0.0
63;209215340.0;0;1.0;1.0;2.0
64;1961859265.0;2;1.0;0.0;1.0
65;1532192088.0;0;0.0;1.0;1.0
66;884040849.0;2;1.0;1.0;2.0
67;1378220617.0;2;1.0;1.0;2.0
68;408307377.0;2;1.0;1.0;2.0
69;975441080.0;0;1.0;1.0;2.0
70;498030391.0;0;0.5;0.0;0.5
71;915492014.0;1;1.0;1.0;2.0
72;792132383.0;0;0.5;0.0;0.5
73;131250775.0;2;1.0;1.0;2.0
74;218966878.0;2;0.5;1.0;1.5
75;2080545721.0;1;0.0;0.0;0.0
76;1626701554.0;0;1.0;1.0;2.0
77;1325734984.0;2;1.0;1.0;2.0
78;290349112.0;0;1.0;1.0;2.0
79;1499781181.0;0;1.0;0.0;1.0
80;1424531753.0;0;0.0;1.0;1.0
81;1832867964.0;2;1.0;0.5;1.5
82;1483764437.0;0;0.0;0.5;0.5
83;1643284890.0;2;1.0;1.0;2.0
84;1789923331.0;0;1.0;1.0;2.0
85;1714816470.0;2;1.0;1.0;2.0
86;643770777.0;0;1.0;1.0;2.0
87;733682058.0;2;1.0;1.0;2.0
88;1764198459.0;1;0.0;0.0;0.0
89;1149967500.0;0;0.0;1.0;1.0
90;21502309.0;2;0.5;1.0;1.5
91;679668178.0;1;0.0;0.0;0.0
92;1459947465.0;1;0.0;0.0;0.0
93;690572767.0;1;1.0;1.0;2.0
94;1279586330.0;1;1.0;1.0;2.0
95;876625462.0;1;1.0;1.0;2.0
96;1015361318.0;1;0.0;1.0;1.0
97;1455762172.0;1;1.0;1.0;2.0
98;845287393.0;1;0.0;1.0;1.0
99;1697998407.0;0;0.0;0.0;0.0
100;626378936.0;0;1.0;1.0;2.0
101;491065446.0;0;1.0;1.0;2.0
102;1122802601.0;0;1.0;1.0;2.0
103;1972197817.0;0;0.0;0.0;0.0
104;552694706.0;0;0.0;0.0;0.0
105;770226065.0;2;1.0;1.0;2.0
106;1182512124.0;2;1.0;1.0;2.0
107;200731708.0;2;1.0;0.0;1.0
108;1628924071.0;2;1.0;1.0;2.0
109;344759138.0;2;1.0;1.0;2.0
110;203119463.0;2;0.5;0.5;1.0
111;508432789.0;2;1.0;1.0;2.0
112;1584986443.0;2;1.0;1.0;2.0
113;2129479255.0;2;0.0;0.0;0.0
114;1019993383.0;2;1.0;1.0;2.0
115;1225074446.0;2;1.0;1.0;2.0
116;1933217702.0;2;1.0;1.0;2.0
117;998883898.0;2;1.0;1.0;2.0
118;666684719.0;2;1.0;1.0;2.0
